name,price,stock,directory,path,alt
Bunny Mushroom (Pink),$12.00 ,1,/static/,img/shop/mushroom-pink.jpg,cute bunny pink hat mushroom 
Strawberry Mushroom,$12.00 ,1,/static/,img/shop/mushroom-red.jpg,cute strawberry hat mushroom
White Octopus,$13.00 ,1,/static/,img/shop/octopus-white.jpg,white octopus
Pikachu,$15.00 ,1,/static/,img/shop/pikachu.png,pikachu from pokemon series
Botamon,$16.00 ,1,/static/,img/shop/botamon.png,botamon from digimon series 
Koromon,$20.00 ,1,/static/,img/shop/koromon.png,koromon from digimon series
Terriermon,$21.00 ,1,/static/,img/shop/terriermon.png,terriermon from digimon series
Appa,$18.00 ,1,/static/,img/shop/appa.png,appa from avatar TV show
Mini-Appa,$14.00 ,1,/static/,img/shop/mini-appa.jpg,appa from avatar TV show
Bunny Hat Mushroom (Yellow),$12.00,1,/static/,img/shop/mushroom-yellow.jpg,cute bunny yellow hat mushroom
Bunny Hat Mushroom (Blue),$12.00,1,/static/,img/shop/mushroom-blue.jpg,cute bunny blue hat mushroom
Yellow Banana,$15.00,1,/static/,img/shop/yellow-banana.jpg,cute yellow banana
Dinosaur (Blue),$15.00,1,/static/,img/shop/dinosaur-blue.jpg,blue chibi dinosaur
Gomamon,$20.00,1,/static/,img/shop/gomamon.jpeg,gomamon from digimon series
